BJD,FLUX,ERRFLUX,AIRMASS,SKY
    489.732553, 0.996100, 0.000264, 1.533,27767.
    489.733275, 0.998957, 0.000262, 1.531,27464.
    489.733999, 0.999922, 0.000258, 1.529,26954.
    489.734721, 0.991889, 0.000254, 1.527,26280.
    489.735444, 0.996578, 0.000255, 1.525,25596.
    489.736166, 0.997455, 0.000265, 1.523,24950.
    489.736888, 0.998048, 0.000256, 1.521,24331.
    489.737611, 0.998604, 0.000258, 1.519,23667.
    489.738333, 0.999219, 0.000257, 1.517,23028.
    489.739055, 0.997934, 0.000260, 1.515,22400.
    489.739777, 0.998208, 0.000257, 1.513,21773.
    489.740499, 0.998197, 0.000255, 1.511,21196.
    489.741222, 0.992228, 0.000258, 1.509,20576.
    489.741944, 0.992885, 0.000260, 1.507,20024.
    489.742667, 0.996435, 0.000257, 1.505,19438.
    489.743389, 0.996444, 0.000253, 1.503,18885.
    489.744111, 0.997555, 0.000254, 1.501,18366.
    489.744833, 0.988572, 0.000251, 1.499,17790.
    489.745555, 0.997266, 0.000253, 1.497,17280.
    489.746278, 0.996455, 0.000260, 1.495,16794.
    489.747722, 0.996826, 0.000263, 1.491,15827.
    489.748445, 0.999593, 0.000256, 1.489,15373.
    489.749167, 0.995832, 0.000254, 1.487,14907.
    489.798075, 0.994760, 0.000259, 1.374, 1673.
    489.799520, 0.993090, 0.000261, 1.371, 1585.
    489.800242, 0.994744, 0.000258, 1.369, 1550.
    489.800965, 0.993697, 0.000255, 1.368, 1546.
    489.802409, 0.993242, 0.000255, 1.365, 1469.
    489.803132, 0.993303, 0.000256, 1.364, 1407.
    489.803854, 0.997106, 0.000254, 1.362, 1396.
    489.804576, 0.997117, 0.000254, 1.361, 1304.
    489.805298, 0.997039, 0.000254, 1.360, 1338.
    489.806021, 0.995473, 0.000253, 1.358, 1299.
    489.806744, 0.994620, 0.000253, 1.357, 1277.
    489.807466, 0.996402, 0.000253, 1.355, 1268.
    489.808188, 0.996330, 0.000254, 1.354, 1223.
    489.808910, 0.994309, 0.000253, 1.353, 1264.
    489.809632, 0.996566, 0.000253, 1.351, 1245.
    489.810354, 0.994582, 0.000253, 1.350, 1211.
    489.811079, 0.994208, 0.000255, 1.349, 1204.
    489.811801, 0.995267, 0.000253, 1.347, 1214.
    489.812523, 0.996736, 0.000257, 1.346, 1180.
    489.813245, 0.994462, 0.000259, 1.345, 1150.
    489.813968, 0.997057, 0.000254, 1.343, 1114.
    489.814690, 0.995638, 0.000252, 1.342, 1095.
    489.815412, 0.995827, 0.000250, 1.341, 1085.
    489.816134, 0.997232, 0.000250, 1.340, 1110.
    489.816856, 0.998158, 0.000250, 1.338, 1067.
    489.817578, 0.998520, 0.000250, 1.337, 1064.
    489.818300, 0.993096, 0.000251, 1.336, 1063.
    489.819022, 0.997728, 0.000252, 1.334, 1052.
    489.819748, 0.993627, 0.000251, 1.333, 1050.
    489.820470, 0.995249, 0.000254, 1.332, 1025.
    489.821192, 0.995799, 0.000258, 1.331, 1001.
    489.821914, 0.996138, 0.000259, 1.330, 1014.
    489.822637, 0.994907, 0.000254, 1.328, 1066.
    489.823360, 0.995744, 0.000251, 1.327, 1051.
    489.824082, 0.997472, 0.000252, 1.326,  971.
    489.824804, 0.997350, 0.000252, 1.325,  981.
    489.825526, 0.997728, 0.000250, 1.323,  953.
    489.826248, 0.997557, 0.000250, 1.322,  941.
    489.826971, 0.999017, 0.000251, 1.321,  929.
    489.827693, 0.995659, 0.000250, 1.320,  925.
    489.828415, 0.997084, 0.000251, 1.319,  910.
    489.829137, 0.997508, 0.000250, 1.318,  907.
    489.829859, 0.997390, 0.000252, 1.316,  907.
    489.830581, 0.996743, 0.000250, 1.315,  867.
    489.831303, 0.999528, 0.000251, 1.314,  859.
    489.832025, 0.997145, 0.000250, 1.313,  839.
    489.832749, 0.998898, 0.000249, 1.312,  877.
    489.833470, 0.997075, 0.000248, 1.311,  842.
    489.834193, 0.997796, 0.000250, 1.310,  813.
    489.835636, 0.995251, 0.000246, 1.307,  809.
    489.836358, 0.995289, 0.000247, 1.306,  777.
    489.837080, 0.996036, 0.000242, 1.305,  785.
    489.837801, 0.996226, 0.000241, 1.304,  834.
    489.838523, 0.993661, 0.000241, 1.303,  823.
    489.839245, 0.997045, 0.000245, 1.302,  841.
    489.839967, 0.997696, 0.000243, 1.301,  822.
    489.840689, 0.992896, 0.000244, 1.300,  833.
    489.841411, 0.996815, 0.000245, 1.299,  832.
    489.842133, 0.994738, 0.000247, 1.298,  868.
    489.842855, 0.992875, 0.000247, 1.297,  828.
    489.843577, 0.996239, 0.000247, 1.296,  753.
    489.844298, 0.993248, 0.000245, 1.295,  717.
    489.845021, 0.995863, 0.000247, 1.294,  725.
    489.845744, 0.995464, 0.000247, 1.293,  769.
    489.846465, 0.994232, 0.000245, 1.292,  727.
    489.847187, 0.995440, 0.000247, 1.291,  656.
    489.847912, 0.991817, 0.000244, 1.290,  650.
    489.848633, 0.993721, 0.000245, 1.289,  635.
    489.849355, 0.993354, 0.000243, 1.288,  656.
    489.850077, 0.994010, 0.000241, 1.287,  683.
    489.850798, 0.993103, 0.000240, 1.286,  731.
    489.851519, 0.988178, 0.000244, 1.285,  764.
    489.852241, 0.995115, 0.000241, 1.284,  753.
    489.852967, 0.995070, 0.000238, 1.283,  722.
    489.853688, 0.997040, 0.000238, 1.282,  736.
    489.854410, 0.995574, 0.000239, 1.281,  763.
    489.855132, 0.994455, 0.000247, 1.280,  829.
    489.855854, 0.997060, 0.000248, 1.279,  780.
    489.856576, 0.996017, 0.000246, 1.278,  769.
    489.857298, 0.997909, 0.000245, 1.277,  745.
    489.858020, 0.994928, 0.000245, 1.276,  760.
    489.858742, 0.995945, 0.000244, 1.275,  737.
    489.859465, 0.997969, 0.000247, 1.274,  719.
    489.860187, 0.996025, 0.000247, 1.274,  707.
    489.860909, 0.997575, 0.000246, 1.273,  651.
    489.861631, 0.999398, 0.000247, 1.272,  626.
    489.862353, 0.995083, 0.000248, 1.271,  625.
    489.863076, 0.999167, 0.000246, 1.270,  662.
    489.863798, 0.996263, 0.000245, 1.269,  709.
    489.864520, 0.998254, 0.000246, 1.268,  749.
    489.865242, 0.996082, 0.000247, 1.268,  751.
    489.865964, 1.000138, 0.000246, 1.267,  688.
    489.866686, 0.998306, 0.000248, 1.266,  677.
    489.867409, 0.993613, 0.000248, 1.265,  654.
    489.868131, 0.996127, 0.000245, 1.264,  639.
    489.868853, 0.998448, 0.000243, 1.263,  625.
    489.869575, 0.998999, 0.000239, 1.263,  664.
    489.870299, 0.996999, 0.000237, 1.262,  718.
    489.871021, 0.998210, 0.000241, 1.261,  745.
    489.871743, 0.998466, 0.000244, 1.260,  760.
    489.872465, 0.996836, 0.000246, 1.259,  715.
    489.873187, 0.997550, 0.000244, 1.259,  691.
    489.873909, 0.999061, 0.000242, 1.258,  706.
    489.874631, 0.997363, 0.000239, 1.257,  737.
    489.875353, 0.998145, 0.000238, 1.256,  753.
    489.876077, 1.001895, 0.000242, 1.256,  773.
    489.876799, 0.999198, 0.000241, 1.255,  813.
    489.877521, 0.998747, 0.000243, 1.254,  785.
    489.878245, 0.996684, 0.000242, 1.253,  781.
    489.878967, 0.997401, 0.000245, 1.253,  750.
    489.879689, 0.996277, 0.000243, 1.252,  700.
    489.880411, 0.997534, 0.000240, 1.251,  712.
    489.881133, 0.996205, 0.000245, 1.251,  754.
    489.881856, 0.996449, 0.000243, 1.250,  724.
    489.882577, 1.000551, 0.000239, 1.249,  720.
    489.883301, 0.999250, 0.000240, 1.248,  766.
    489.884023, 0.999874, 0.000245, 1.248,  750.
    489.884748, 1.001338, 0.000241, 1.247,  689.
    489.885471, 0.998643, 0.000237, 1.246,  705.
    489.886193, 0.999241, 0.000238, 1.246,  695.
    489.886915, 0.998383, 0.000238, 1.245,  736.
    489.887637, 0.998013, 0.000239, 1.244,  754.
    489.888359, 0.998007, 0.000240, 1.244,  821.
    489.889083, 0.998357, 0.000241, 1.243,  789.
    489.889805, 0.997677, 0.000240, 1.243,  778.
    489.890527, 0.994985, 0.000243, 1.242,  797.
    489.891249, 0.995162, 0.000244, 1.241,  794.
    489.891972, 0.996675, 0.000243, 1.241,  747.
    489.892694, 0.994933, 0.000244, 1.240,  782.
    489.893416, 0.995530, 0.000244, 1.239,  857.
    489.894138, 0.996878, 0.000243, 1.239,  851.
    489.894861, 0.997552, 0.000241, 1.238,  861.
    489.895583, 0.997656, 0.000246, 1.238,  854.
    489.897031, 0.998561, 0.000251, 1.237,  851.
    489.897754, 0.997202, 0.000250, 1.236,  800.
    489.899200, 0.998595, 0.000252, 1.235,  782.
    489.899922, 0.999311, 0.000252, 1.234,  783.
    489.901366, 0.998339, 0.000250, 1.233,  753.
    489.902088, 0.999220, 0.000255, 1.233,  797.
    489.903532, 0.998026, 0.000254, 1.232,  881.
    489.904257, 0.998337, 0.000253, 1.231,  885.
    489.904979, 0.997462, 0.000255, 1.231,  873.
    489.905701, 1.002160, 0.000254, 1.230,  849.
    489.906423, 1.000433, 0.000252, 1.230,  826.
    489.907146, 1.001500, 0.000252, 1.229,  832.
    489.907868, 1.004038, 0.000253, 1.229,  819.
    489.908590, 0.992651, 0.000247, 1.228,  785.
    489.909313, 1.001056, 0.000252, 1.228,  746.
    489.910035, 0.999190, 0.000249, 1.227,  731.
    489.910758, 0.998253, 0.000253, 1.227,  725.
    489.911480, 0.996705, 0.000251, 1.226,  796.
    489.912202, 0.998110, 0.000251, 1.226,  799.
    489.912924, 0.998754, 0.000253, 1.226,  806.
    489.913646, 1.000305, 0.000255, 1.225,  824.
    489.914369, 0.997839, 0.000259, 1.225,  748.
    489.915093, 0.999994, 0.000256, 1.224,  725.
    489.915815, 1.002301, 0.000256, 1.224,  754.
    489.916537, 1.000899, 0.000254, 1.223,  775.
    489.917259, 1.001072, 0.000252, 1.223,  789.
    489.917982, 1.000991, 0.000250, 1.223,  733.
    489.918704, 0.999334, 0.000248, 1.222,  823.
    489.919426, 0.997961, 0.000251, 1.222,  851.
    489.920148, 0.999658, 0.000254, 1.221,  908.
    489.920870, 0.997654, 0.000254, 1.221,  896.
    489.921592, 0.999392, 0.000252, 1.221,  867.
    489.922316, 1.001101, 0.000252, 1.220,  867.
    489.923038, 0.999205, 0.000251, 1.220,  839.
    489.923760, 0.998538, 0.000253, 1.220,  756.
    489.924482, 1.000000, 0.000255, 1.219,  754.
    489.925204, 0.999776, 0.000251, 1.219,  720.
    489.925925, 1.001326, 0.000253, 1.219,  698.
    489.926647, 0.999827, 0.000252, 1.218,  750.
    489.927368, 1.002938, 0.000251, 1.218,  755.
    489.928091, 0.999835, 0.000251, 1.218,  747.
    489.928813, 1.000693, 0.000250, 1.217,  731.
    489.929536, 1.000720, 0.000249, 1.217,  762.
    489.930258, 1.000785, 0.000248, 1.217,  774.
    489.930981, 1.003376, 0.000247, 1.216,  777.
    489.931703, 0.991285, 0.000244, 1.216,  749.
    489.932425, 1.003632, 0.000245, 1.216,  721.
    489.933147, 1.005090, 0.000245, 1.216,  726.
    489.933869, 1.007048, 0.000248, 1.215,  745.
    489.934592, 1.003848, 0.000246, 1.215,  745.
    489.935314, 1.002728, 0.000248, 1.215,  778.
    489.936758, 1.002462, 0.000253, 1.214,  787.
    489.937483, 1.000326, 0.000252, 1.214,  794.
    489.938205, 0.994482, 0.000252, 1.214,  818.
    489.938927, 1.001615, 0.000254, 1.214,  769.
    489.939651, 1.003269, 0.000250, 1.213,  786.
    489.940373, 0.989959, 0.000250, 1.213,  832.
    489.941095, 1.002204, 0.000251, 1.213,  815.
    489.941819, 1.000412, 0.000250, 1.213,  796.
    489.942542, 1.000701, 0.000254, 1.213,  789.
    489.943264, 1.000137, 0.000255, 1.212,  873.
    489.943986, 1.000064, 0.000252, 1.212,  847.
    489.944708, 0.999222, 0.000254, 1.212,  864.
    489.945434, 0.998715, 0.000254, 1.212,  823.
    489.946156, 1.001070, 0.000253, 1.212,  832.
    489.946878, 0.999556, 0.000251, 1.212,  791.
    489.947600, 0.997509, 0.000255, 1.211,  789.
    489.948322, 0.999639, 0.000256, 1.211,  776.
    489.949044, 0.999583, 0.000258, 1.211,  790.
    489.950489, 1.001001, 0.000249, 1.211,  790.
    489.951213, 0.999095, 0.000254, 1.211,  769.
    489.951935, 0.999491, 0.000253, 1.211,  781.
    489.952657, 1.000116, 0.000249, 1.210,  813.
    489.953379, 1.002129, 0.000251, 1.210,  891.
    489.954101, 0.998981, 0.000250, 1.210,  885.
    489.954823, 0.998810, 0.000253, 1.210,  858.
    489.955545, 0.998419, 0.000252, 1.210,  860.
    489.956267, 1.000589, 0.000248, 1.210,  845.
    489.956990, 1.000728, 0.000251, 1.210,  821.
    489.957712, 0.997521, 0.000252, 1.210,  846.
    489.959159, 0.999873, 0.000250, 1.210,  827.
    489.959881, 0.999427, 0.000250, 1.210,  816.
    489.960603, 1.002676, 0.000246, 1.210,  828.
