BJD,FLUX,ERRFLUX,AIRMASS,SKY
    503.819136, 1.002556, 0.000258, 1.279, 1202.
    503.819858, 1.003940, 0.000259, 1.278, 1151.
    503.820580, 1.004370, 0.000258, 1.277, 1155.
    503.821302, 1.003452, 0.000261, 1.276, 1146.
    503.822025, 1.001883, 0.000261, 1.275, 1144.
    503.822747, 1.000150, 0.000258, 1.274, 1124.
    503.823469, 1.000308, 0.000258, 1.273, 1069.
    503.824191, 1.001322, 0.000260, 1.272, 1048.
    503.824914, 1.002635, 0.000260, 1.271, 1021.
    503.825636, 1.000000, 0.000256, 1.271,  972.
    503.826358, 1.001578, 0.000260, 1.270,  976.
    503.827080, 0.999860, 0.000261, 1.269, 1007.
    503.827802, 0.999579, 0.000257, 1.268, 1011.
    503.828524, 1.001453, 0.000256, 1.267, 1007.
    503.829246, 0.999543, 0.000257, 1.266, 1053.
    503.829969, 0.999690, 0.000257, 1.266, 1054.
    503.830691, 1.000745, 0.000256, 1.265, 1084.
    503.831413, 1.000328, 0.000259, 1.264, 1073.
    503.832135, 0.998490, 0.000257, 1.263, 1076.
    503.832856, 0.997430, 0.000258, 1.262, 1043.
    503.833579, 0.997794, 0.000258, 1.261, 1033.
    503.834301, 0.998741, 0.000259, 1.261, 1041.
    503.835023, 0.997536, 0.000255, 1.260, 1024.
    503.835745, 0.996760, 0.000256, 1.259,  975.
    503.836467, 0.998563, 0.000255, 1.258,  990.
    503.837189, 0.999066, 0.000254, 1.258,  951.
    503.837911, 0.997188, 0.000255, 1.257,  921.
    503.838633, 0.996260, 0.000252, 1.256,  954.
    503.839355, 0.996890, 0.000253, 1.255,  990.
    503.840077, 0.997065, 0.000252, 1.255,  943.
    503.840799, 0.995602, 0.000252, 1.254,  945.
    503.841521, 0.995803, 0.000251, 1.253,  943.
    503.842244, 0.994741, 0.000251, 1.252,  934.
    503.842966, 0.994802, 0.000251, 1.252,  891.
    503.843688, 0.996048, 0.000251, 1.251,  979.
    503.844411, 0.996489, 0.000250, 1.250,  987.
    503.845132, 0.995726, 0.000253, 1.250,  971.
    503.845855, 0.996674, 0.000253, 1.249,  949.
    503.846576, 0.993859, 0.000253, 1.248,  962.
    503.847298, 0.994846, 0.000253, 1.247,  910.
    503.848020, 0.994176, 0.000252, 1.247,  887.
    503.848742, 0.994664, 0.000250, 1.246,  930.
    503.849465, 0.993450, 0.000253, 1.245,  914.
    503.850187, 0.993728, 0.000252, 1.245,  937.
    503.850909, 0.993680, 0.000253, 1.244,  965.
    503.851631, 0.992716, 0.000253, 1.244,  929.
    503.852353, 0.994799, 0.000252, 1.243,  951.
    503.853076, 0.992615, 0.000253, 1.242,  918.
    503.853798, 0.993361, 0.000252, 1.242,  915.
    503.854520, 0.991850, 0.000251, 1.241,  829.
    503.855242, 0.992853, 0.000251, 1.240,  848.
    503.855964, 0.992992, 0.000252, 1.240,  865.
    503.856686, 0.992234, 0.000250, 1.239,  889.
    503.857408, 0.993422, 0.000251, 1.239,  880.
    503.858131, 0.991929, 0.000250, 1.238,  909.
    503.858853, 0.990595, 0.000251, 1.237,  852.
    503.859575, 0.990700, 0.000252, 1.237,  830.
    503.860297, 0.992008, 0.000252, 1.236,  830.
    503.861020, 0.991967, 0.000252, 1.236,  849.
    503.861742, 0.990890, 0.000250, 1.235,  841.
    503.862464, 0.990764, 0.000251, 1.235,  866.
