name;gender;category;year
John Boyd Orr, Baron Boyd-Orr of Brechin Mearn;male;Peace;1949
Reinhard Selten;male;Economic_Sciences;1994
John C. Harsanyi;male;Economic_Sciences;1994
John F. Nash Jr.;male;Economic_Sciences;1994
Owen Chamberlain;male;Physics;1959
Emilio Gino Segrè;male;Physics;1959
Kofi Atta Annan;male;Peace;2001
Thomas R. Cech;male;Chemistry;1989
Sidney Altman;male;Chemistry;1989
Francis William Aston;male;Chemistry;1922
Peter C. Doherty;male;Physiology_or_Medicine;1996
Rolf M. Zinkernagel;male;Physiology_or_Medicine;1996
Roger Y. Tsien;male;Chemistry;2008
Osamu Shimomura;male;Chemistry;2008
Martin Chalfie;male;Chemistry;2008
Naguib Mahfouz;male;Literature;1988
Richard R. Schrock;male;Chemistry;2005
Robert H. Grubbs;male;Chemistry;2005
Yves Chauvin;male;Chemistry;2005
Melvin Calvin;male;Chemistry;1961
Jean Baptiste Perrin;male;Physics;1926
Otto Paul Hermann Diels;male;Chemistry;1950
Kurt Alder;male;Chemistry;1950
Il´ja Mikhailovich Frank;male;Physics;1958
Pavel Alekseyevich Cherenkov;male;Physics;1958
Igor Yevgenyevich Tamm;male;Physics;1958
Philipp Eduard Anton von Lenard;male;Physics;1905
Edward C. Prescott;male;Economic_Sciences;2004
Finn E. Kydland;male;Economic_Sciences;2004
Jack Steinberger;male;Physics;1988
Leon M. Lederman;male;Physics;1988
Melvin Schwartz;male;Physics;1988
Daniel Bovet;male;Physiology_or_Medicine;1957
William F. Sharpe;male;Economic_Sciences;1990
Merton H. Miller;male;Economic_Sciences;1990
Harry M. Markowitz;male;Economic_Sciences;1990
Liu Xiaobo;male;Peace;2010
Hermann Joseph Muller;male;Physiology_or_Medicine;1946
Pär Fabian Lagerkvist;male;Literature;1951
Gerhart Johann Robert Hauptmann;male;Literature;1912
Richard Martin Willstätter;male;Chemistry;1915
Saul Bellow;male;Literature;1976
Sir Vidiadhar Surajprasad Naipaul;male;Literature;2001
Lester Bowles Pearson;male;Peace;1957
Donald Arthur Glaser;male;Physics;1960
Cordell Hull;male;Peace;1945
James E. Rothman;male;Physiology_or_Medicine;2013
Randy W. Schekman;male;Physiology_or_Medicine;2013
Thomas C. Südhof;male;Physiology_or_Medicine;2013
Muhammad Yunus;male;Peace;2006
David J. Wineland;male;Physics;2012
Serge Haroche;male;Physics;2012
Ronald Ross;male;Physiology_or_Medicine;1902
Léon Victor Auguste Bourgeois;male;Peace;1920
Fridtjof Nansen;male;Peace;1922
Gerardus 't Hooft;male;Physics;1999
Martinus J.G. Veltman;male;Physics;1999
Eugene Paul Wigner;male;Physics;1963
Maria Goeppert Mayer;female;Physics;1963
J. Hans D. Jensen;male;Physics;1963
Vernon L. Smith;male;Economic_Sciences;2002
Daniel Kahneman;male;Economic_Sciences;2002
Rudolph A. Marcus;male;Chemistry;1992
Philip J. Noel-Baker;male;Peace;1959
William Alfred Fowler;male;Physics;1983
Subramanyan Chandrasekhar;male;Physics;1983
Elihu Root;male;Peace;1912
Giosuè Carducci;male;Literature;1906
Gerhard Domagk;male;Physiology_or_Medicine;1939
Kailash Satyarthi;male;Peace;2014
Malala Yousafzai;female;Peace;2014
Sinclair Lewis;male;Literature;1930
Didier Queloz;male;Physics;2019
James Peebles;male;Physics;2019
Michel Mayor;male;Physics;2019
Hans Albrecht Bethe;male;Physics;1967
Nils Gustaf Dalén;male;Physics;1912
Eugenio Montale;male;Literature;1975
Sir Norman Angell (Ralph Lane);male;Peace;1933
Hermann Staudinger;male;Chemistry;1953
Czeslaw Milosz;male;Literature;1980
Phillip A. Sharp;male;Physiology_or_Medicine;1993
Richard J. Roberts;male;Physiology_or_Medicine;1993
Lord Rayleigh (John William Strutt);male;Physics;1904
Mohamed ElBaradei;male;Peace;2005
François Englert;male;Physics;2013
Peter W. Higgs;male;Physics;2013
Emil Theodor Kocher;male;Physiology_or_Medicine;1909
Marie Curie, née Sklodowska;female;Chemistry;1911
George Wald;male;Physiology_or_Medicine;1967
Haldan Keffer Hartline;male;Physiology_or_Medicine;1967
Ragnar Granit;male;Physiology_or_Medicine;1967
Willy Brandt;male;Peace;1971
Douglas D. Osheroff;male;Physics;1996
Robert C. Richardson;male;Physics;1996
David M. Lee;male;Physics;1996
Mikhail Sergeyevich Gorbachev;male;Peace;1990
Russell A. Hulse;male;Physics;1993
Joseph H. Taylor Jr.;male;Physics;1993
Trygve Haavelmo;male;Economic_Sciences;1989
Ernst Boris Chain;male;Physiology_or_Medicine;1945
Sir Alexander Fleming;male;Physiology_or_Medicine;1945
Sir Howard Walter Florey;male;Physiology_or_Medicine;1945
John C. Mather;male;Physics;2006
George F. Smoot;male;Physics;2006
Robert Burns Woodward;male;Chemistry;1965
Svante August Arrhenius;male;Chemistry;1903
Thomas Woodrow Wilson;male;Peace;1919
John Cowdery Kendrew;male;Chemistry;1962
Max Ferdinand Perutz;male;Chemistry;1962
Jan Tinbergen;male;Economic_Sciences;1969
Ragnar Frisch;male;Economic_Sciences;1969
Corneille Jean François Heymans;male;Physiology_or_Medicine;1938
Tadeus Reichstein;male;Physiology_or_Medicine;1950
Edward Calvin Kendall;male;Physiology_or_Medicine;1950
Philip Showalter Hench;male;Physiology_or_Medicine;1950
Stanley B. Prusiner;male;Physiology_or_Medicine;1997
Imre Kertész;male;Literature;2002
Sir John Douglas Cockcroft;male;Physics;1951
Ernest Thomas Sinton Walton;male;Physics;1951
Max Karl Ernst Ludwig Planck;male;Physics;1918
Günter Blobel;male;Physiology_or_Medicine;1999
James Tobin;male;Economic_Sciences;1981
Heinrich Otto Wieland;male;Chemistry;1927
Gustav Ludwig Hertz;male;Physics;1925
James Franck;male;Physics;1925
Rigoberta Menchú Tum;female;Peace;1992
Edgar Algernon Robert Gascoyne-Cecil, 1st Viscount Cecil of Chelwood;male;Peace;1937
Henry W. Kendall;male;Physics;1990
Jerome I. Friedman;male;Physics;1990
Richard E. Taylor;male;Physics;1990
Niels Henrik David Bohr;male;Physics;1922
Frederick Soddy;male;Chemistry;1921
Ernest Rutherford;male;Chemistry;1908
Octavio Paz;male;Literature;1990
Glenn Theodore Seaborg;male;Chemistry;1951
Edwin Mattison McMillan;male;Chemistry;1951
Carl Gustaf Verner von Heidenstam;male;Literature;1916
Jean-Paul Sartre;male;Literature;1964
David Trimble;male;Peace;1998
John Hume;male;Peace;1998
Milton Friedman;male;Economic_Sciences;1976
Robert C. Merton;male;Economic_Sciences;1997
Myron S. Scholes;male;Economic_Sciences;1997
Louise Glück;female;Literature;2020
Lawrence R. Klein;male;Economic_Sciences;1980
Irving Langmuir;male;Chemistry;1932
J. Michael Kosterlitz;male;Physics;2016
David J. Thouless;male;Physics;2016
F. Duncan M. Haldane;male;Physics;2016
Pablo Neruda;male;Literature;1971
John Steinbeck;male;Literature;1962
Lars Olof Jonathan (Nathan) Söderblom;male;Peace;1930
Luigi Pirandello;male;Literature;1934
Fritz Pregl;male;Chemistry;1923
Ronald H. Coase;male;Economic_Sciences;1991
William Faulkner;male;Literature;1949
Edward Mills Purcell;male;Physics;1952
Felix Bloch;male;Physics;1952
Georg von Békésy;male;Physiology_or_Medicine;1961
Dennis Gabor;male;Physics;1971
Robert M. Solow;male;Economic_Sciences;1987
Gao Xingjian;male;Literature;2000
Johannes Stark;male;Physics;1919
Oscar Arias Sánchez;male;Peace;1987
Juan Ramón Jiménez;male;Literature;1956
Juan Manuel Santos;male;Peace;2016
Otto Hahn;male;Chemistry;1944
Herbert A. Hauptman;male;Chemistry;1985
Jerome Karle;male;Chemistry;1985
Jaroslav Seifert;male;Literature;1984
Hans Fischer;male;Chemistry;1930
Gerard Debreu;male;Economic_Sciences;1983
Jeffrey C. Hall;male;Physiology_or_Medicine;2017
Michael W. Young;male;Physiology_or_Medicine;2017
Michael Rosbash;male;Physiology_or_Medicine;2017
Desmond Mpilo Tutu;male;Peace;1984
Hannes Olof Gösta Alfvén;male;Physics;1970
Louis Eugène Félix Néel;male;Physics;1970
Erik Axel Karlfeldt;male;Literature;1931
Ernst Otto Fischer;male;Chemistry;1973
Geoffrey Wilkinson;male;Chemistry;1973
Patrick Modiano;male;Literature;2014
Emmanuelle Charpentier;female;Chemistry;2020
Jennifer A. Doudna;female;Chemistry;2020
Dan Shechtman;male;Chemistry;2011
Emily Greene Balch;female;Peace;1946
John Raleigh Mott;male;Peace;1946
Sigrid Undset;female;Literature;1928
Wassily Wassilyevich Leontief;male;Economic_Sciences;1973
Wladyslaw Stanislaw Reymont;male;Literature;1924
Thomas Stearns Eliot;male;Literature;1948
Eugene Gladstone O'Neill;male;Literature;1936
Robert S. Mulliken;male;Chemistry;1966
Paul Sabatier;male;Chemistry;1912
Victor Grignard;male;Chemistry;1912
Max von Laue;male;Physics;1914
William Golding;male;Literature;1983
Giorgos Seferis;male;Literature;1963
Olga Tokarczuk;female;Literature;2018
Manfred Eigen;male;Chemistry;1967
George Porter;male;Chemistry;1967
Ronald George Wreyford Norrish;male;Chemistry;1967
Daniel L. McFadden;male;Economic_Sciences;2000
James J. Heckman;male;Economic_Sciences;2000
Romain Rolland;male;Literature;1915
Paul Krugman;male;Economic_Sciences;2008
Joseph John Thomson;male;Physics;1906
Douglass C. North;male;Economic_Sciences;1993
Robert W. Fogel;male;Economic_Sciences;1993
Sir William Ramsay;male;Chemistry;1904
Joshua Lederberg;male;Physiology_or_Medicine;1958
Edward Lawrie Tatum;male;Physiology_or_Medicine;1958
George Wells Beadle;male;Physiology_or_Medicine;1958
Jaroslav Heyrovsky;male;Chemistry;1959
Julius Wagner-Jauregg;male;Physiology_or_Medicine;1927
Wislawa Szymborska;female;Literature;1996
Yasunari Kawabata;male;Literature;1968
James Earl Carter;male;Peace;2002
Hans Spemann;male;Physiology_or_Medicine;1935
Lars Onsager;male;Chemistry;1968
Georg Wittig;male;Chemistry;1979
Herbert C. Brown;male;Chemistry;1979
The 14th Dalai Lama (Tenzin Gyatso);male;Peace;1989
Franco Modigliani;male;Economic_Sciences;1985
Horst L. Störmer;male;Physics;1998
Daniel C. Tsui;male;Physics;1998
Robert B. Laughlin;male;Physics;1998
Saint-John Perse;male;Literature;1960
Gerhard Ertl;male;Chemistry;2007
Gerhard Herzberg;male;Chemistry;1971
Jean-Marie Gustave Le Clézio;male;Literature;2008
William Butler Yeats;male;Literature;1923
Peter D. Mitchell;male;Chemistry;1978
Patrick Maynard Stuart Blackett;male;Physics;1948
Nadine Gordimer;female;Literature;1991
Frederik Willem de Klerk;male;Peace;1993
Nelson Rolihlahla Mandela;male;Peace;1993
Edward Adelbert Doisy;male;Physiology_or_Medicine;1943
Henrik Carl Peter Dam;male;Physiology_or_Medicine;1943
Luis F. Leloir;male;Chemistry;1970
William D. Nordhaus;male;Economic_Sciences;2018
Paul M. Romer;male;Economic_Sciences;2018
Fritz Haber;male;Chemistry;1918
Walter Kohn;male;Chemistry;1998
John A. Pople;male;Chemistry;1998
Maurice Allais;male;Economic_Sciences;1988
Johannes Vilhelm Jensen;male;Literature;1944
George Catlett Marshall;male;Peace;1953
Robert A. Mundell;male;Economic_Sciences;1999
Herbert A. Simon;male;Economic_Sciences;1978
Jules Bordet;male;Physiology_or_Medicine;1919
Pearl Buck;female;Literature;1938
Ilya Romanovich Prigogine;male;Chemistry;1977
Toni Morrison;female;Literature;1993
Kim Dae-jung;male;Peace;2000
Edgar Douglas Adrian;male;Physiology_or_Medicine;1932
Sir Charles Scott Sherrington;male;Physiology_or_Medicine;1932
Louis J. Ignarro;male;Physiology_or_Medicine;1998
Ferid Murad;male;Physiology_or_Medicine;1998
Robert F. Furchgott;male;Physiology_or_Medicine;1998
Paul J. Flory;male;Chemistry;1974
Henri Bergson;male;Literature;1927
Jacinto Benavente;male;Literature;1922
Mother Teresa;female;Peace;1979
Rudolf Christoph Eucken;male;Literature;1908
Max Theiler;male;Physiology_or_Medicine;1951
Linus Carl Pauling;male;Peace;1962
Linus Carl Pauling;male;Chemistry;1954
Patrick White;male;Literature;1973
Ernest Miller Hemingway;male;Literature;1954
Karl Manne Georg Siegbahn;male;Physics;1924
Richard R. Ernst;male;Chemistry;1991
Werner Karl Heisenberg;male;Physics;1932
Edwin G. Krebs;male;Physiology_or_Medicine;1992
Edmond H. Fischer;male;Physiology_or_Medicine;1992
Isaac Bashevis Singer;male;Literature;1978
Robert Koch;male;Physiology_or_Medicine;1905
Wendell Meredith Stanley;male;Chemistry;1946
James Batcheller Sumner;male;Chemistry;1946
John Howard Northrop;male;Chemistry;1946
Edmund S. Phelps;male;Economic_Sciences;2006
Robert E. Lucas Jr.;male;Economic_Sciences;1995
Samuel Beckett;male;Literature;1969
Otto Stern;male;Physics;1943
John M. Coetzee;male;Literature;2003
Henri Moissan;male;Chemistry;1906
Paul Johann Ludwig Heyse;male;Literature;1910
Gabriel Lippmann;male;Physics;1908
Roger D. Kornberg;male;Chemistry;2006
Norman Ernest Borlaug;male;Peace;1970
Seamus Heaney;male;Literature;1995
Richard Stone;male;Economic_Sciences;1984
James M. Buchanan Jr.;male;Economic_Sciences;1986
Sir Chandrasekhara Venkata Raman;male;Physics;1930
Walther Hermann Nernst;male;Chemistry;1920
Dario Fo;male;Literature;1997
William N. Lipscomb;male;Chemistry;1976
Richard H. Thaler;male;Economic_Sciences;2017
Jean Tirole;male;Economic_Sciences;2014
Wangari Muta Maathai;female;Peace;2004
Paul A. Samuelson;male;Economic_Sciences;1970
José Saramago;male;Literature;1998
Hermann Hesse;male;Literature;1946
Martti Ahtisaari;male;Peace;2008
Aung San Suu Kyi;female;Peace;1991
Peter Handke;male;Literature;2019
Yoshinori Ohsumi;male;Physiology_or_Medicine;2016
Percy Williams Bridgman;male;Physics;1946
Mikhail Aleksandrovich Sholokhov;male;Literature;1965
Frans Eemil Sillanpää;male;Literature;1939
Louis Renault;male;Peace;1907
Ernesto Teodoro Moneta;male;Peace;1907
Robert Andrews Millikan;male;Physics;1923
Sir Winston Leonard Spencer Churchill;male;Literature;1953
Halldór Kiljan Laxness;male;Literature;1955
Prince Louis-Victor Pierre Raymond de Broglie;male;Physics;1929
Miguel Angel Asturias;male;Literature;1967
Pierre-Gilles de Gennes;male;Physics;1991
Vincent du Vigneaud;male;Chemistry;1955
Frederick Reines;male;Physics;1995
Martin L. Perl;male;Physics;1995
George de Hevesy;male;Chemistry;1943
Ivan Petrovich Pavlov;male;Physiology_or_Medicine;1904
Wolfgang Pauli;male;Physics;1945
Hideki Yukawa;male;Physics;1949
Jacobus Henricus van 't Hoff;male;Chemistry;1901
Lech Walesa;male;Peace;1983
Odysseus Elytis;male;Literature;1979
Willard Frank Libby;male;Chemistry;1960
Roger Martin du Gard;male;Literature;1937
Ardem Patapoutian;male;Physiology_or_Medicine;2021
David Julius;male;Physiology_or_Medicine;2021
Benjamin List;male;Chemistry;2021
David W.C. MacMillan;male;Chemistry;2021
Giorgio Parisi;male;Physics;2021
Klaus Hasselmann;male;Physics;2021
Syukuro Manabe;male;Physics;2021
David Card;male;Economic_Sciences;2021
Guido W. Imbens;male;Economic_Sciences;2021
Joshua D. Angrist;male;Economic_Sciences;2021
Dmitry Andreyevich Muratov;male;Peace;2021
Maria Ressa;female;Peace;2021
Annie Ernaux;female;Literature;2022
Ales Bialiatski ;male;Peace;2022
K. Barry Sharpless;male;Chemistry;2022
Carolyn R. Bertozzi;female;Chemistry;2022
Morten Meldal;male;Chemistry;2022
Svante Pääbo;male;Physiology_or_Medicine;2022
Narges Mohammadi;female;Peace;2023
Jon Fosse;male;Literature;2023
Pierre Agostini;male;Physics;2023
Ferenc Krausz;male;Physics;2023
Anne L’Huillier;female;Physics;2023
Drew Weissman;male;Physiology_or_Medicine;2023
Katalin Kariko;female;Physiology_or_Medicine;2023
Claudia Golden;female;Economic_Sciences;2023
Alexei Iekimov;male;Chemistry;2023
Louis E. Brus;male;Chemistry;2023
Moungi Bawendi;male;Chemistry;2023
John J.Hopfield;male;Physics;2024
Geoffrey Hinton;male;Physics;2024
David Baker;male;Chemistry;2024
Demis Hassabis;male;Chemistry;2024
John Jumper;male;Chemistry;2024
Victor Ambros;male;Physiology_or_Medicine;2024
Gary Ruvkun;male;Physiology_or_Medicine;2024
Han Kang;female;Literature;2024
Nihon Hidankyo;male;Peace;2024
Daron Acemoglu;male;Economic_Sciences;2024
Simon Johnson;male;Economic_Sciences;2024
James A.Robinson;male;Economic_Sciences;2024
