BJD,FLUX,ERRFLUX,AIRMASS,SKY
    483.820987, 0.997713, 0.002235, 1.272,  664.
    483.821172, 1.012441, 0.002247, 1.272,  653.
    483.821347, 0.993460, 0.002194, 1.272,  661.
    483.821520, 1.002612, 0.002190, 1.273,  664.
    483.821693, 0.989202, 0.002153, 1.273,  665.
    483.821867, 0.999708, 0.002204, 1.273,  671.
    483.822041, 0.995805, 0.002204, 1.274,  677.
    483.822216, 0.994129, 0.002208, 1.274,  678.
    483.822389, 0.990009, 0.002298, 1.274,  684.
    483.822563, 0.997239, 0.002416, 1.274,  688.
    483.822738, 0.998347, 0.002339, 1.275,  694.
    483.822911, 0.996600, 0.002269, 1.275,  688.
    483.823084, 1.006126, 0.002341, 1.275,  693.
    483.823257, 1.005557, 0.002395, 1.275,  695.
    483.823431, 1.000775, 0.002520, 1.276,  706.
    483.823604, 0.999428, 0.002545, 1.276,  701.
    483.823778, 1.004298, 0.002410, 1.276,  707.
    483.823953, 1.009573, 0.002389, 1.277,  705.
    483.824126, 0.995195, 0.002264, 1.277,  708.
    483.824301, 1.006565, 0.002243, 1.277,  712.
    483.824477, 1.002871, 0.002217, 1.277,  708.
    483.824652, 1.008594, 0.002187, 1.278,  704.
    483.824825, 0.990588, 0.002213, 1.278,  699.
    483.825000, 1.005219, 0.002212, 1.278,  700.
    483.825173, 0.988869, 0.002184, 1.279,  696.
    483.825346, 1.000847, 0.002171, 1.279,  706.
    483.825519, 1.000676, 0.002151, 1.279,  711.
    483.825693, 1.002533, 0.002158, 1.279,  714.
    483.825869, 1.003526, 0.002157, 1.280,  708.
    483.826042, 0.997823, 0.002140, 1.280,  708.
    483.826216, 1.000748, 0.002138, 1.280,  706.
    483.826390, 0.998862, 0.002116, 1.281,  694.
    483.826564, 0.999189, 0.002134, 1.281,  693.
    483.826739, 1.005596, 0.002134, 1.281,  693.
    483.826913, 1.002366, 0.002142, 1.281,  692.
    483.827088, 0.999842, 0.002152, 1.282,  695.
    483.827262, 1.003142, 0.002147, 1.282,  701.
    483.827435, 0.998511, 0.002132, 1.282,  707.
    483.827609, 1.003379, 0.002145, 1.283,  717.
    483.827782, 1.008575, 0.002156, 1.283,  721.
    483.827956, 0.999816, 0.002139, 1.283,  730.
    483.828132, 1.004730, 0.002161, 1.283,  731.
    483.828305, 1.006002, 0.002157, 1.284,  729.
    483.828478, 1.002747, 0.002152, 1.284,  726.
    483.828652, 1.008222, 0.002156, 1.284,  727.
    483.828825, 0.994982, 0.002144, 1.284,  720.
    483.829001, 0.999591, 0.002146, 1.285,  723.
    483.829174, 0.999758, 0.002153, 1.285,  716.
    483.829348, 1.001000, 0.002147, 1.285,  715.
    483.829522, 0.999874, 0.002115, 1.286,  715.
    483.829696, 1.000000, 0.002109, 1.286,  705.
    483.829870, 1.001926, 0.002120, 1.286,  703.
    483.830044, 0.999071, 0.002105, 1.286,  702.
    483.830218, 1.001778, 0.002111, 1.287,  704.
    483.830391, 0.995501, 0.002113, 1.287,  704.
    483.830566, 1.000187, 0.002121, 1.287,  711.
    483.830739, 1.005819, 0.002136, 1.288,  714.
    483.830915, 1.002082, 0.002137, 1.288,  715.
    483.831088, 0.996794, 0.002118, 1.288,  710.
    483.831262, 0.994916, 0.002117, 1.288,  706.
    483.831436, 1.001788, 0.002123, 1.289,  700.
    483.831610, 1.001115, 0.002129, 1.289,  703.
    483.831784, 1.000047, 0.002119, 1.289,  701.
    483.831959, 1.001343, 0.002130, 1.290,  698.
    483.832131, 0.995533, 0.002121, 1.290,  702.
    483.832304, 0.995645, 0.002134, 1.290,  708.
