BJD,FLUX,ERRFLUX,AIRMASS,SKY
    444.170215, 1.000995, 0.001926, 1.647,  209.
    444.170422, 1.003450, 0.001941, 1.647,  209.
    444.170619, 1.000489, 0.001940, 1.647,  211.
    444.170814, 1.001967, 0.001944, 1.647,  212.
    444.171011, 0.999055, 0.001951, 1.647,  214.
    444.171213, 1.004322, 0.001965, 1.648,  215.
    444.171406, 0.997722, 0.001955, 1.648,  215.
    444.171603, 1.002835, 0.001952, 1.648,  215.
    444.171796, 1.002328, 0.001946, 1.648,  221.
    444.172002, 0.996153, 0.001935, 1.648,  222.
    444.172200, 1.004992, 0.001953, 1.648,  225.
    444.172400, 1.007332, 0.001952, 1.648,  223.
    444.172599, 1.003302, 0.001946, 1.648,  222.
    444.172797, 1.000368, 0.001942, 1.649,  221.
    444.173002, 1.005038, 0.001949, 1.649,  224.
    444.173201, 0.997621, 0.001939, 1.649,  221.
    444.173398, 0.993217, 0.001934, 1.649,  219.
    444.173596, 1.004156, 0.001952, 1.649,  219.
    444.173796, 1.005059, 0.001950, 1.649,  219.
    444.173992, 1.001513, 0.001940, 1.649,  220.
    444.174189, 0.996005, 0.001938, 1.649,  217.
    444.174384, 0.998561, 0.001942, 1.649,  219.
    444.174583, 0.996584, 0.001938, 1.650,  216.
    444.174779, 1.008949, 0.001950, 1.650,  218.
    444.174977, 1.011527, 0.001968, 1.650,  217.
    444.175179, 1.002299, 0.001966, 1.650,  215.
    444.175378, 1.002068, 0.001949, 1.650,  216.
    444.175581, 0.995108, 0.001939, 1.650,  218.
    444.175781, 0.996293, 0.001951, 1.650,  214.
    444.175981, 0.986775, 0.002003, 1.650,  214.
    444.176190, 1.005759, 0.001970, 1.650,  214.
    444.176392, 0.998953, 0.001944, 1.650,  214.
    444.176590, 0.998402, 0.001992, 1.651,  210.
    444.176795, 1.011486, 0.002110, 1.651,  212.
    444.177018, 1.002190, 0.002009, 1.651,  207.
    444.177233, 1.004117, 0.001957, 1.651,  208.
    444.177440, 0.994643, 0.001948, 1.651,  205.
    444.177640, 1.001772, 0.001967, 1.651,  207.
    444.177838, 1.008617, 0.002108, 1.651,  205.
    444.178058, 1.000345, 0.001954, 1.651,  204.
    444.178258, 1.002560, 0.001947, 1.651,  206.
    444.178455, 1.002243, 0.001977, 1.651,  202.
    444.178651, 1.001827, 0.001963, 1.652,  206.
    444.178852, 1.004356, 0.001981, 1.652,  204.
    444.179056, 1.009389, 0.002031, 1.652,  207.
    444.179265, 0.995930, 0.001990, 1.652,  205.
    444.179481, 1.000152, 0.001968, 1.652,  202.
    444.179678, 1.001433, 0.001990, 1.652,  207.
    444.179877, 1.003715, 0.001973, 1.652,  203.
    444.180077, 0.995707, 0.001968, 1.652,  204.
    444.180276, 1.005463, 0.002012, 1.652,  205.
    444.180479, 1.000186, 0.001985, 1.652,  204.
    444.180677, 0.999073, 0.001988, 1.652,  205.
    444.180873, 1.007285, 0.001976, 1.653,  205.
    444.181072, 0.994597, 0.001964, 1.653,  205.
    444.181273, 0.991077, 0.001984, 1.653,  209.
    444.181480, 0.994009, 0.001954, 1.653,  207.
    444.181688, 1.009327, 0.001974, 1.653,  207.
    444.181887, 0.997322, 0.001974, 1.653,  205.
    444.182099, 0.998038, 0.001952, 1.653,  204.
    444.182309, 0.995631, 0.001961, 1.653,  204.
    444.182520, 1.001462, 0.001961, 1.653,  203.
    444.182722, 0.995750, 0.001952, 1.653,  202.
    444.182928, 1.000491, 0.001979, 1.653,  197.
    444.183146, 0.989860, 0.002054, 1.654,  199.
    444.183363, 1.001405, 0.002016, 1.654,  200.
    444.183577, 0.999949, 0.002000, 1.654,  198.
    444.183788, 0.991036, 0.001975, 1.654,  198.
    444.183999, 0.996170, 0.001957, 1.654,  197.
    444.184204, 1.001601, 0.001968, 1.654,  196.
    444.184410, 1.004656, 0.001992, 1.654,  199.
    444.184618, 1.000633, 0.001970, 1.654,  201.
    444.184819, 1.001763, 0.001968, 1.654,  200.
    444.185019, 1.000709, 0.001969, 1.654,  200.
    444.185220, 1.001356, 0.001958, 1.654,  201.
    444.185420, 0.997286, 0.001952, 1.654,  201.
    444.185621, 0.995320, 0.001976, 1.654,  199.
    444.185827, 0.993108, 0.002048, 1.655,  200.
    444.186045, 0.997962, 0.001976, 1.655,  200.
    444.186245, 0.997656, 0.002000, 1.655,  199.
    444.186453, 0.994783, 0.001969, 1.655,  199.
    444.186656, 0.999609, 0.001968, 1.655,  200.
    444.186858, 0.987284, 0.001972, 1.655,  198.
    444.187061, 1.001475, 0.001992, 1.655,  198.
    444.187262, 0.995924, 0.001964, 1.655,  199.
    444.187465, 1.006310, 0.001976, 1.655,  200.
    444.187666, 0.996958, 0.001954, 1.655,  201.
    444.187867, 0.995724, 0.001948, 1.655,  198.
    444.188069, 1.004568, 0.001994, 1.655,  205.
    444.188271, 0.991676, 0.001984, 1.655,  205.
    444.188473, 1.007173, 0.001994, 1.655,  202.
    444.188671, 1.001200, 0.001985, 1.655,  204.
    444.188874, 1.002612, 0.001991, 1.656,  203.
    444.189074, 1.002896, 0.002014, 1.656,  207.
    444.189269, 0.993916, 0.002003, 1.656,  206.
    444.189472, 1.002031, 0.001980, 1.656,  207.
    444.189671, 1.001090, 0.001963, 1.656,  206.
    444.189872, 1.001991, 0.001979, 1.656,  203.
    444.190079, 1.003844, 0.001986, 1.656,  204.
    444.190285, 1.002948, 0.001978, 1.656,  204.
    444.190487, 0.995229, 0.002001, 1.656,  203.
    444.190693, 1.003639, 0.002061, 1.656,  204.
    444.190913, 0.992057, 0.001967, 1.656,  201.
    444.191117, 0.997796, 0.001976, 1.656,  203.
    444.191316, 1.003092, 0.001975, 1.656,  203.
    444.191514, 0.994504, 0.001977, 1.656,  206.
    444.191717, 0.998059, 0.001967, 1.656,  206.
    444.191918, 0.999900, 0.001974, 1.656,  204.
    444.192120, 1.007688, 0.001984, 1.656,  204.
