BJD,FLUX,ERRFLUX,AIRMASS,SKY
    567.964688, 1.011490, 0.002079, 1.348, 4160.
    567.964770, 0.982931, 0.002041, 1.348, 4126.
    567.965097, 1.003848, 0.002069, 1.349, 3984.
    567.965259, 0.999224, 0.002066, 1.349, 3918.
    567.965339, 0.999587, 0.002067, 1.349, 3885.
    567.965501, 1.002668, 0.002041, 1.349, 3825.
    567.966956, 1.010484, 0.002048, 1.351, 3337.
    567.967762, 1.004367, 0.002026, 1.353, 3109.
    567.967843, 0.998803, 0.002023, 1.353, 3087.
    567.967924, 1.004882, 0.002035, 1.353, 3066.
    567.971430, 1.001987, 0.002033, 1.358, 2351.
    567.971511, 1.003792, 0.002039, 1.358, 2339.
    567.971753, 1.001152, 0.002037, 1.358, 2296.
    567.971915, 1.000949, 0.002036, 1.358, 2272.
    567.972400, 0.999071, 0.002032, 1.359, 2197.
    567.972481, 0.999222, 0.002030, 1.359, 2183.
    567.973620, 0.995009, 0.002038, 1.361, 2009.
    567.973943, 1.006328, 0.002047, 1.361, 1971.
    567.974349, 1.002176, 0.002036, 1.362, 1903.
    567.974514, 1.002138, 0.002038, 1.362, 1880.
    567.974927, 1.000950, 0.002032, 1.363, 1828.
    567.975421, 1.003198, 0.002037, 1.363, 1766.
    567.977152, 1.001436, 0.002029, 1.366, 1565.
    567.978059, 0.992727, 0.002020, 1.367, 1482.
    567.979466, 1.001535, 0.002036, 1.369, 1358.
    567.982160, 1.001576, 0.002041, 1.373, 1157.
    567.983082, 0.997126, 0.002043, 1.374, 1102.
    567.984507, 1.000111, 0.002044, 1.376, 1011.
    567.987434, 0.997244, 0.002048, 1.380,  869.
    567.987767, 0.997379, 0.002047, 1.380,  854.
    567.988020, 0.996856, 0.002046, 1.381,  845.
    567.988940, 1.004955, 0.002054, 1.382,  804.
    567.989776, 0.998941, 0.002053, 1.383,  773.
    567.989859, 0.992977, 0.002049, 1.383,  769.
    567.990110, 1.005621, 0.002058, 1.384,  762.
    567.990194, 1.002891, 0.002050, 1.384,  757.
    567.990278, 1.003062, 0.002058, 1.384,  757.
    567.990694, 1.000486, 0.002052, 1.384,  743.
    567.991613, 0.999935, 0.002056, 1.386,  719.
    567.991864, 0.996049, 0.002044, 1.386,  711.
    567.992114, 1.004189, 0.002056, 1.386,  704.
    567.992280, 0.990799, 0.002041, 1.386,  700.
